tsne_1,tsne_2,faixa_preco
-6.12316,-29.848145,Q3
68.01396,-1.3018031,Q3
65.68299,-22.057873,Q4
8.94431,13.15049,Q4
-12.236561,24.022062,Q2
34.94663,5.126382,Q3
-10.413139,-70.158005,Q2
-21.324093,-10.97245,Q4
-21.520075,-44.003365,Q4
13.047399,-9.232886,Q4
66.7969,-18.704473,Q3
21.592115,-17.449957,Q3
53.757347,-25.97287,Q5 (mais caro)
-15.078718,-51.7077,Q5 (mais caro)
-52.83738,-28.040525,Q5 (mais caro)
-43.866432,-52.320404,Q5 (mais caro)
7.641683,-25.832232,Q2
8.0093355,-38.21744,Q2
65.69481,63.55478,Q2
44.25296,13.917744,Q3
33.86143,8.500055,Q3
58.715244,39.424274,Q3
-80.06419,-36.306553,Q3
38.481094,3.8806252,Q4
19.63352,-39.645897,Q4
4.2441144,-42.944077,Q4
-17.331802,29.842196,Q4
-2.0429184,-75.80803,Q4
38.554306,5.2366014,Q4
-80.46211,-36.55106,Q4
-8.8944025,-44.361507,Q1 (mais barato)
13.148012,-9.215831,Q1 (mais barato)
30.377226,20.828142,Q2
81.51156,-26.815994,Q2
78.18585,0.9147786,Q1 (mais barato)
-33.518078,-10.901198,Q2
52.71035,2.0089703,Q1 (mais barato)
41.210217,-56.61958,Q2
60.795696,-51.380623,Q2
44.483032,50.452053,Q2
-17.380348,-85.77995,Q1 (mais barato)
-17.393322,-85.537125,Q1 (mais barato)
39.22337,-45.918186,Q2
22.213974,-83.21243,Q1 (mais barato)
14.641306,-75.189026,Q1 (mais barato)
97.13626,-33.182484,Q2
32.962414,-54.97581,Q4
-31.756699,-6.9140744,Q1 (mais barato)
45.01824,-38.780506,Q1 (mais barato)
21.95157,-83.220634,Q2
20.152287,-80.00797,Q1 (mais barato)
25.913078,-46.045082,Q2
-31.173532,38.962116,Q2
24.925453,-103.97904,Q3
25.220339,-80.55235,Q2
18.090017,-70.392944,Q3
40.472076,-64.77495,Q2
45.79242,-47.58491,Q4
42.96847,-60.51108,Q2
19.029198,-72.07153,Q3
